aerospace	1.5267862613092516E-5
agroindustrial	4.337460969628556E-7
air	3.3639178549954265E-4
alex	9.878567358329037E-5
alston	2.147043179966135E-6
ambulance	7.655618611394401E-6
american	0.0011737386256863353
anais	3.6868418241842725E-7
angelo	3.7952783484249866E-6
apartment	2.5547645111112195E-5
appleton	1.207982880041553E-5
art	3.535247563295755E-4
artificial	2.8844115448029897E-5
atacocha	8.913482292586682E-6
aubry	1.084365242407139E-6
austral	1.1711144617997102E-6
b	0.0011199757969677896
band	2.3255296988663503E-4
barbara	4.1834811052067425E-5
bartowmcdonald	0.0
basin	1.691609778155137E-5
basketball	1.393192463444692E-4
baumgardner	3.9427520213923574E-5
belt	3.743228816789444E-5
benjamin	5.801354046878194E-5
bernard	2.261985895661292E-5
bert	9.28216647500511E-6
blair	2.1969239811168637E-5
blaise	6.441129539898406E-6
blossom	2.8215183607433758E-5
bob	1.6885735554763968E-4
bobplaisted	0.0
bok	6.93993755140569E-6
borgella	6.723064502924262E-7
boschee	1.9301701314847073E-6
bottou	5.898946918694836E-6
brantley	3.1446592029807034E-6
brass	7.915866269572115E-6
brenda	3.253095727221417E-6
bronfman	1.401216766238505E-4
buddy	2.5265710148086338E-5
carey	1.2361763763441385E-5
carl	4.38517304029447E-5
carla	5.6603865653652655E-6
caud	0.0
cementos	2.9060988496511324E-6
center	5.562576820500142E-4
chang	3.426594166006559E-6
charles	1.1795725106904859E-4
charter	3.912389794604958E-5
chiara	8.674921939257112E-8
chuck	4.894824704225826E-5
clare	1.537629913733323E-5
clark	7.816104667270658E-5
coffee	1.4324464852198308E-4
cooperative	5.72327974942488E-5
copper	7.14813567794786E-5
corbato	6.506191454442835E-7
corbin	1.4031686236748378E-5
corn	4.981573923618397E-5
corps	1.2665386031315383E-5
cove	5.486888126580124E-6
crothers	8.89179498773854E-7
croze	1.7349843878514225E-7
d	4.758411556731007E-4
dalle	5.638699260517123E-7
danbom	1.5267862613092516E-5
daniel	7.204522670553032E-5
danny	2.9776669556500037E-5
danvillekyengr	0.0
dapuzzo	1.1060525472552818E-6
david	3.674696933469313E-4
davis	9.917604507055693E-5
deanne	1.069184129013439E-5
del	1.4192172292624636E-4
denney	4.662770542350698E-6
derby	2.0993311093002213E-5
derrick	7.742367830786973E-6
don	1.3244437070760796E-4
drag	1.908482826636565E-5
drew	6.0095521734203644E-5
dunkelvolk	8.458048890775685E-7
e	0.0010502294245761624
ed	2.083065630664114E-4
edgar	4.862293746953611E-5
edlund	9.542414133182824E-6
eighth	2.5070524404453054E-5
elementary	2.268492087115735E-5
elysian	3.253095727221417E-6
eva	5.356764297491267E-6
evvnt	0.0
ewers	7.590556696849973E-7
fargo	2.9325573615658667E-4
fernando	8.544798110168256E-6
festival	1.6126679885078971E-4
field	2.1678629926203525E-4
financial	2.0403416401132727E-4
fitzgibbons	1.700284700094394E-5
florida	0.0012769051348489506
fowler	3.5350306902472732E-6
frank	9.579282551424666E-5
freedman	3.1446592029807034E-6
funches	1.5701608710055374E-5
g	2.677731529600189E-4
garlits	5.161578553857982E-6
geoffrey	9.932785620449394E-6
george	3.6224305287852886E-4
gerberding	6.506191454442835E-8
ghahramani	2.9928480690437037E-6
girls	7.443083023882603E-5
goldberg	1.0648466680438106E-5
goldwasser	4.510959408413698E-6
grana	2.2121050945105635E-6
great	5.065937539477672E-4
gretchen	1.3424441701000381E-5
group	3.8805094564781876E-4
grutzka	6.506191454442835E-8
gutierrez	1.3229255957367095E-6
gwenaelle	4.554334018109984E-7
h	2.2292380653405965E-4
hamilton	2.160055562875021E-5
hampton	5.964008833239265E-6
hartmanis	4.337460969628556E-7
haven	1.3706376664026237E-5
hayden	6.527878759290977E-6
health	5.533732705052112E-4
hehn	2.168730484814278E-8
henry	8.458048890775684E-5
high	5.969864405548263E-4
hinton	8.19780123259797E-6
hjemkomst	1.4487119638559378E-5
hoboken	1.1862955751934102E-4
hoffman	3.0362226787399893E-5
innovis	2.277167009054992E-6
institute	1.255694950707467E-4
intelligence	5.671230217789337E-5
intergroup	3.6000926047917017E-6
irmen	7.590556696849973E-7
j	3.9579331347860573E-4
jack	9.234454404339196E-5
jamie	3.263939379645489E-5
jasper	3.181527621222546E-5
jeff	8.850589108527068E-5
jennifer	7.42139571903446E-5
jeremy	2.82368709122819E-5
jim	1.0520511581834063E-4
jo	1.3858187797963236E-5
joanne	4.163962530843414E-6
joey	9.889411010753108E-6
john	5.163096665197352E-4
johnsgard	3.2314084223732742E-6
joshua	2.3357227321449774E-5
jr	1.5981374942596415E-4
judd	9.390602999245823E-6
juris	6.311005710809549E-6
kachru	2.8193496302585616E-6
katz	1.5723296014903516E-5
ken	3.719372781456487E-5
kenny	1.2123203410111814E-5
kentguinn4mayor	0.0
keri	4.554334018109984E-7
klaus	6.8748756368612616E-6
krieg	6.506191454442835E-7
lake	2.9214968360933137E-4
lambert	9.303853779853254E-6
landing	1.8998079046973076E-5
lang	2.6241638866252765E-5
lazorko	2.3856035332957056E-7
lecun	1.973544741180993E-6
lee	1.480809175031189E-4
leon	1.0149658668930821E-5
lewis	1.2314051692775471E-4
lima	2.5265710148086338E-5
liskov	4.467584798717413E-6
lite	6.506191454442834E-6
lorenzo	2.1904177896624207E-6
luz	3.6000926047917017E-6
mackay	1.941013783908779E-5
mantia	1.2144890714959956E-6
marion	1.439169549722755E-4
mark	2.1719835805414996E-4
marksman	4.337460969628556E-8
marquart	4.901330895680268E-6
matt	8.774683541558569E-5
maurice	2.3465663845690488E-5
mays	4.684457847198841E-6
mckinnon	5.183265858706124E-6
mcwilliams	5.421826212035695E-7
mercier	1.084365242407139E-6
middle	1.6302347054348928E-4
miller	6.59510940432022E-5
mine	1.1214505336974632E-4
missmarcel	4.988080115072839E-7
molle	3.5133433853991304E-6
montero	2.2121050945105635E-6
moorhead	6.556072255593563E-5
motel	1.4964240345218518E-6
murie	6.245943796265121E-6
museum	1.4009998931900237E-4
nappi	1.9518574363328504E-7
nichols	1.0149658668930821E-5
nicolas	5.682073870213409E-6
oak	2.5764518159593624E-5
ocala	7.878347232184828E-4
odegard	1.301238290888567E-6
olaus	3.578405299943559E-6
orchestra	8.0655086730243E-5
osceola	7.0700613804945465E-6
p	9.798974949536353E-4
pankow	4.337460969628556E-8
parsley	6.115819967176264E-6
pat	3.7063603985476014E-5
paul	3.132514312265743E-4
peru	6.738245616317962E-5
phyllis	3.751903738728701E-6
pomalca	9.976160230145679E-7
poolman	5.313389687794981E-6
powell	1.1277398521034246E-5
power	3.798097698055245E-4
racing	7.365008726429288E-5
railway	3.28996414546326E-5
ramos	1.1667770008300816E-5
randy	1.943182514393593E-5
red	2.4268094125071772E-4
redmondmusic	0.0
reid	1.3164194042822667E-5
reporter	6.38257381680842E-5
research	2.4383036840766928E-4
richard	1.8349628632013606E-4
ritz	5.5953246508208375E-6
rivas	1.1494271569515674E-6
river	3.898076173405183E-4
rob	4.036007432239371E-5
ron	7.67513718575773E-5
rory	2.066800152028007E-5
ruben	7.850804355027687E-6
safranko	2.602476581777134E-7
sandrafriend	0.0
sara	2.767300098623019E-5
savoldi	1.1060525472552818E-6
schneider	4.0772133114508425E-5
schoffer	4.337460969628556E-8
school	6.146182193963664E-4
sciences	4.1010693467838E-5
scot	2.10366857026985E-6
scotiabank	2.1318620665724353E-5
scovel	1.4183497370685378E-5
sean	3.070922366497018E-5
services	3.1270924860537076E-4
severson	1.3663002054329951E-6
shafi	2.775975020562276E-6
shamit	1.192801766647853E-6
silverstein	5.703761175061551E-6
simsa	2.3856035332957056E-7
sinner	2.487533866081977E-5
smelter	1.2448512982833956E-5
smith	1.468013665170785E-4
speedway	3.326832563705102E-5
sr	8.386480784776813E-5
star	2.3320358903207932E-4
stevens	5.30254603537091E-5
stovall	2.602476581777134E-7
street	2.49252194619705E-4
stuart	1.6482351684588514E-5
sur	9.694225267119824E-6
susan	4.4957782950199984E-5
symphony	5.990033599057036E-5
tamarkin	3.079597288436275E-6
technical	6.538722411715049E-5
tennis	1.3235762148821538E-4
theo	4.315773664780413E-6
thoreson	7.677305916242545E-6
tilo	7.156810599887118E-7
tonyg203	0.0
toquepala	5.421826212035695E-7
travis	4.0923944248445426E-5
urbren00	0.0
volunteer	3.253095727221417E-5
w	3.274999905118041E-4
wcoffeeresearch	8.674921939257112E-8
weehawken	9.43397760894211E-6
weiler	2.3639162284475632E-6
weir	9.976160230145679E-6
william	1.2463694096227657E-4
williams	8.176113927749829E-5
winters	9.889411010753108E-6
witten	3.9037148726657E-6
wrigley	3.1424904724958886E-5
writer	8.900469909677798E-5
y	2.0479321968101228E-4
yann	2.385603533295706E-6
zetumer	5.942321528391122E-6
zoo	4.502284486474441E-5
zoubin	1.474736729673709E-6
